run IMDB with vanilla postgres
ERROR:  no relation entry for relid 0
2: time consumption: 690.170000 ms
ERROR:  no relation entry for relid 0
0: time consumption: 675.043000 ms
ERROR:  no relation entry for relid 0
1: time consumption: 659.412000 ms
ERROR:  no relation entry for relid 0
2: time consumption: 719.625000 ms
ERROR:  no relation entry for relid 0
0: time consumption: 1023.742000 ms
ERROR:  no relation entry for relid 0
1: time consumption: 952.706000 ms
ERROR:  no relation entry for relid 0
2: time consumption: 932.545000 ms
ERROR:  no relation entry for relid 0
0: time consumption: 908.309000 ms
ERROR:  no relation entry for relid 0
1: time consumption: 961.929000 ms
ERROR:  no relation entry for relid 0
2: time consumption: 904.473000 ms
ERROR:  no relation entry for relid 0
0: time consumption: 979.726000 ms
ERROR:  no relation entry for relid 0
1: time consumption: 973.680000 ms
ERROR:  no relation entry for relid 0
2: time consumption: 966.649000 ms
ERROR:  no relation entry for relid 0
0: time consumption: 616353.130000 ms
1: time consumption: 601099.180000 ms
2: time consumption: 592267.403000 ms
0: time consumption: 443328.296000 ms
1: time consumption: 437907.673000 ms
2: time consumption: 439119.376000 ms
0: time consumption: 912827.312000 ms
1: time consumption: 911989.230000 ms
2: time consumption: 913915.238000 ms
0: time consumption: 590188.681000 ms
1: time consumption: 589868.900000 ms
2: time consumption: 589253.722000 ms
0: time consumption: 481362.609000 ms
1: time consumption: 478507.369000 ms
2: time consumption: 478917.034000 ms
0: time consumption: 614353.763000 ms
1: time consumption: 619273.903000 ms
2: time consumption: 617215.970000 ms
0: time consumption: 260285.339000 ms
1: time consumption: 261306.231000 ms
2: time consumption: 262915.739000 ms
0: time consumption: 265993.804000 ms
1: time consumption: 266923.491000 ms
2: time consumption: 247065.623000 ms
0: time consumption: 887527.525000 ms
1: time consumption: 891111.293000 ms
2: time consumption: 888844.318000 ms
0: time consumption: 254195.396000 ms
1: time consumption: 256379.991000 ms
2: time consumption: 253006.862000 ms
0: time consumption: 346688.878000 ms
1: time consumption: 340579.306000 ms
2: time consumption: 352531.860000 ms
0: time consumption: 256620.582000 ms
1: time consumption: 252070.914000 ms
2: time consumption: 251942.423000 ms
0: time consumption: 337490.766000 ms
1: time consumption: 351171.974000 ms
2: time consumption: 354749.160000 ms
0: time consumption: 254615.777000 ms
1: time consumption: 249567.350000 ms
2: time consumption: 241825.250000 ms
0: time consumption: 780959.630000 ms
1: time consumption: 727542.847000 ms
2: time consumption: 758412.360000 ms
0: time consumption: 797833.346000 ms
1: time consumption: 837291.659000 ms
2: time consumption: 807966.362000 ms
0: time consumption: 284081.858000 ms
1: time consumption: 272456.997000 ms
2: time consumption: 244829.308000 ms
0: time consumption: 963101.781000 ms
1: time consumption: 907725.120000 ms
2: time consumption: 905358.313000 ms
0: time consumption: 802186.293000 ms
1: time consumption: 786054.730000 ms
2: time consumption: 801755.381000 ms
0: time consumption: 835554.047000 ms
1: time consumption: 814281.324000 ms
2: time consumption: 790546.181000 ms
0: time consumption: 892948.246000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 2778.047000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 2572.522000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 366959.465000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
1: time consumption: 2949.213000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
2: time consumption: 2724.066000 ms
ERROR:  non-MVCC snapshots are not supported in index-only scans
0: time consumption: 933118.601000 ms
1: time consumption: 918969.321000 ms
2: time consumption: 917609.140000 ms
0: time consumption: 172065.306000 ms
1: time consumption: 185168.695000 ms
2: time consumption: 170898.367000 ms
0: time consumption: 126976.953000 ms
1: time consumption: 113532.566000 ms
2: time consumption: 117516.638000 ms
0: time consumption: 704645.775000 ms
1: time consumption: 485751.325000 ms
2: time consumption: 480955.376000 ms
copy to imdb
run IMDB with optimal
0: time consumption: 860512.162000 ms
server closed the connection unexpectedly
	This probably means the server terminated abnormally
	before or while processing the request.
FATAL:  the database system is in recovery mode

copy to imdb
